volume,modality,field,subject,variant,nrmse,nrmse_full,ssim
R_T1W_0.1T_0016,T1W,0.1T,0016,conv@1mm,0.07158,0.07178,0.96253
R_T1W_0.1T_0016,T1W,0.1T,0016,inr@1mm,0.10099,0.10202,0.9463
R_T1W_0.1T_0016,T1W,0.1T,0016,conv@0.5mm,0.07415,0.07452,0.94508
R_T1W_0.1T_0016,T1W,0.1T,0016,inr@0.5mm,0.10347,0.10485,0.92803
R_T1W_0.1T_0030,T1W,0.1T,0030,conv@1mm,0.17272,0.17276,0.95625
R_T1W_0.1T_0030,T1W,0.1T,0030,inr@1mm,0.10478,0.10522,0.9453
R_T1W_0.1T_0030,T1W,0.1T,0030,conv@0.5mm,0.17919,0.17927,0.93982
R_T1W_0.1T_0030,T1W,0.1T,0030,inr@0.5mm,0.1075,0.10816,0.92708
R_T1W_0.1T_0033,T1W,0.1T,0033,conv@1mm,0.07174,0.07194,0.96228
R_T1W_0.1T_0033,T1W,0.1T,0033,inr@1mm,0.10113,0.10218,0.94641
R_T1W_0.1T_0033,T1W,0.1T,0033,conv@0.5mm,0.07415,0.07453,0.94484
R_T1W_0.1T_0033,T1W,0.1T,0033,inr@0.5mm,0.10361,0.105,0.92823
R_T1W_0.1T_0036,T1W,0.1T,0036,conv@1mm,0.06957,0.06975,0.9636
R_T1W_0.1T_0036,T1W,0.1T,0036,inr@1mm,0.09839,0.09936,0.94695
R_T1W_0.1T_0036,T1W,0.1T,0036,conv@0.5mm,0.07434,0.07468,0.94612
R_T1W_0.1T_0036,T1W,0.1T,0036,inr@0.5mm,0.10099,0.1023,0.92862
R_T1W_0.1T_0040,T1W,0.1T,0040,conv@1mm,0.06937,0.06956,0.96342
R_T1W_0.1T_0040,T1W,0.1T,0040,inr@1mm,0.10003,0.101,0.94628
R_T1W_0.1T_0040,T1W,0.1T,0040,conv@0.5mm,0.07301,0.07336,0.94587
R_T1W_0.1T_0040,T1W,0.1T,0040,inr@0.5mm,0.10257,0.10389,0.92801
R_T1W_0.1T_0064,T1W,0.1T,0064,conv@1mm,0.3207,0.32073,0.85923
R_T1W_0.1T_0064,T1W,0.1T,0064,inr@1mm,0.2153,0.21588,0.8476
R_T1W_0.1T_0064,T1W,0.1T,0064,conv@0.5mm,0.32645,0.32649,0.82056
R_T1W_0.1T_0064,T1W,0.1T,0064,inr@0.5mm,0.21875,0.21945,0.80387
R_T1W_0.1T_0072,T1W,0.1T,0072,conv@1mm,0.31474,0.31476,0.94085
R_T1W_0.1T_0072,T1W,0.1T,0072,inr@1mm,0.17618,0.17638,0.94606
R_T1W_0.1T_0072,T1W,0.1T,0072,conv@0.5mm,0.31977,0.3198,0.93571
